,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
1,4396.625,3136.375,145.833,517.459,30.667,3475.583,3937.167,5634.5,827.958,998.125,28.958,1764.25,0.25,1805.625,0.791,1655.291
2,4308.709,3080.75,125.791,521.084,12.25,3484.916,4607.334,5493.583,528.083,987.959,28.083,1755.667,0.25,1841.667,0.25,1617.709
3,3742.333,3175.666,125.625,513.833,15.75,3424.708,4254.042,5684.25,555.042,930.167,28.25,1734.458,0.25,1785.083,0.209,1588
4,4118.666,3247.334,126,514.042,11.666,3427,3858.875,5542.167,526.709,927.875,27.792,1767.666,0.25,1828.084,0.209,1655.208
5,3242.084,3122.125,129.167,526.625,11.75,3434.292,3941,5669.708,547.125,975.917,28.25,1790.958,0.208,1831.625,0.209,1727.25
6,2674.083,3243.042,125.875,518.292,11.667,3463.542,3990.709,5718.625,553.5,920.292,28.208,1734.834,0.208,1780.667,0.209,1628.417
7,2702.917,3190.958,125.584,513.917,11.708,3423.625,3952.084,5632.417,530.375,941.458,31.167,1750.833,0.208,1800.75,0.209,1656.209
8,3096.833,3173.625,125.708,517.5,11.667,3434,3870.375,5721.125,534.625,926.959,28,1865.667,0.25,1806.416,0.209,1602.708
9,2452.166,3162.834,136.417,526.75,11.75,3473.125,3876.75,5674.625,539.875,944.875,27.667,1788,0.25,1735.208,0.209,1624.5
10,2377.875,3107.625,125.667,525.583,11.667,3424.208,3946.083,5599.417,524.125,929.958,27.875,1743.167,0.208,1726.041,0.209,1629.167
11,2367.959,3112.75,125.625,514.041,11.708,3500.5,4015.875,5533.458,528.583,946.792,27.792,1776.542,0.208,1716.417,0.209,1623.625
12,2818.584,3075.333,125.875,514.041,11.708,3450.208,3865.708,5605.708,525.459,951,28.125,1777,0.208,1745.125,0.208,1632.25
13,2250.375,3236.167,125.833,533.542,11.666,3536.083,4114.042,5519.708,540.375,946.25,27.875,1767.209,0.25,1716.209,0.208,1602.542
14,2282,3424.416,129.042,532.25,11.709,3424.584,3981.625,5666.584,522.042,946.083,28.041,1757,0.25,1751.334,0.208,1610.167
15,2298.25,3214.417,125.75,517.333,11.708,3438.166,3904.625,5549.625,538.583,943.959,28.125,1760.416,0.25,1739.666,0.25,1614.25
16,2112.417,3258.25,125.792,521.75,11.708,3461.041,4353.916,5835.708,529.916,941.25,28,1767.875,0.208,1723.375,0.208,1640.834
17,2424.375,3073.084,129.208,514.25,11.708,3432,3955.125,5675.458,553.25,929.5,28,1749.666,0.209,1729.583,0.25,1618.958
18,2052.458,3136.083,125.708,513.958,11.75,3681.875,4006.625,5567.709,551.958,921.625,28,1747.334,0.25,1740.875,0.208,1589.458
19,2179.625,3345.209,125.792,514.083,11.666,3549.583,3883.167,5537.792,538.334,918.875,27.75,1736.667,0.25,1725.75,0.208,1597.583
20,1912.541,3211.625,129.166,514.167,11.667,3519.166,3946.875,5698.791,523.042,920,27.875,1781.542,0.25,1708.625,0.209,1590.875
21,2022,3248.125,125.667,643.542,11.667,3436.833,4024.208,5603.083,524.459,916.625,28.042,1772.75,0.25,1724.083,0.209,1587.667
22,1997.292,3215.667,132.208,541.959,11.667,3453.292,3988.292,5560.959,532.458,945.75,28.042,1747.75,0.208,1759,0.209,1612.458
23,2015.792,3163.209,125.541,520.417,11.667,3443.75,4361.625,5536.084,522,996.667,28,1741.667,0.208,1719.25,0.209,1603.583
24,1913.875,3174,125.75,517.5,11.75,3448.084,4018,6258.833,518.125,961.917,28,1734.334,0.208,1722.916,0.25,1670.75
